epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,224.86,0.92122,1.09556,1.23562,0.72845,0.65173,0.58909,0.24683,1.64231,2.21756,2.02512,0.000792325,0.000792325,0.000792325
55,228.635,1.11964,1.12064,1.22333,0.72845,0.65173,0.58909,0.24683,1.64231,2.21756,2.02512,0.000775822,0.000775822,0.000775822
56,232.459,1.11677,1.1877,1.28248,0.60412,0.70459,0.63178,0.30098,1.42251,2.05215,1.96902,0.000759318,0.000759318,0.000759318
57,236.208,0.95211,0.98929,1.16397,0.60412,0.70459,0.63178,0.30098,1.42251,2.05215,1.96902,0.000742815,0.000742815,0.000742815
58,239.961,1.03032,1.06035,1.22084,0.55379,0.7307,0.64728,0.38165,1.18031,2.02179,1.88219,0.000726312,0.000726312,0.000726312
59,243.94,0.95778,0.9891,1.15876,0.55379,0.7307,0.64728,0.38165,1.18031,2.02179,1.88219,0.000709809,0.000709809,0.000709809
60,247.853,1.21199,1.31638,1.52518,0.39026,0.70903,0.50119,0.34323,1.2431,2.07317,1.76354,0.000693305,0.000693305,0.000693305
61,251.753,0.92433,0.97888,1.10231,0.39026,0.70903,0.50119,0.34323,1.2431,2.07317,1.76354,0.000676802,0.000676802,0.000676802
62,255.545,1.08416,1.09741,1.27387,0.67503,0.49656,0.45109,0.26466,1.24262,2.35169,1.69612,0.000660299,0.000660299,0.000660299
63,259.533,0.9664,1.03888,1.20532,0.67503,0.49656,0.45109,0.26466,1.24262,2.35169,1.69612,0.000643795,0.000643795,0.000643795
64,263.53,1.03333,1.03945,1.24652,0.68748,0.55857,0.47257,0.26169,1.24743,2.42567,1.66762,0.000627292,0.000627292,0.000627292
65,267.428,0.94578,1.0564,1.19174,0.68748,0.55857,0.47257,0.26169,1.24743,2.42567,1.66762,0.000610789,0.000610789,0.000610789
66,271.264,0.92766,1.03587,1.10072,0.55232,0.62222,0.51422,0.28853,1.35592,2.30077,1.69734,0.000594286,0.000594286,0.000594286
67,275.233,0.92259,0.96187,1.16196,0.55232,0.62222,0.51422,0.28853,1.35592,2.30077,1.69734,0.000577782,0.000577782,0.000577782
68,279.22,1.01994,1.05912,1.2121,0.57229,0.56338,0.62911,0.37544,1.3607,2.03368,1.65302,0.000561279,0.000561279,0.000561279
